temperature,humidity,rainfall,wind_speed,season,risk_level,disease_name,pest_name
32.82,83.12,154.16,15.24,Winter,High,Blight,Powdery Mildew
22.64,58.91,61.18,22.98,Monsoon,Low,,Healthy
36.5,43.99,173.18,8.14,Winter,Low,,Stem Borer
23.48,63.31,82.49,5.13,Summer,Medium,Aphids,Stem Borer
28.02,62.38,114.1,4.47,Summer,Medium,Armyworm,Stem Borer
37.88,60.03,12.65,1.78,Winter,Medium,Armyworm,Aphids
37.55,40.34,38.68,7.13,Summer,Low,,Aphids
33.94,80.96,116.89,11.46,Summer,Medium,Armyworm,Powdery Mildew
36.12,92.57,103.81,0.98,Summer,Medium,Aphids,Powdery Mildew
36.18,89.84,172.22,21.74,Monsoon,High,Blight,Powdery Mildew
30.45,65.49,165.74,9.71,Summer,Medium,Armyworm,Stem Borer
23.18,82.32,197.23,10.89,Monsoon,High,Leaf Spot,Powdery Mildew
23.69,76.98,159.83,8.66,Summer,High,Blight,Stem Borer
32.19,93.72,155.73,13.11,Summer,High,Blight,Powdery Mildew
30.4,63.43,269.32,5.99,Winter,Medium,Aphids,Stem Borer
31.1,48.61,204.71,23.29,Winter,Low,,Stem Borer
38.94,73.88,36.96,9.8,Winter,Medium,Aphids,Aphids
29.13,88.27,267.94,18.49,Summer,High,Blight,Powdery Mildew
39.0,80.95,195.04,11.44,Winter,High,Blight,Powdery Mildew
34.09,68.69,288.53,24.42,Summer,Medium,Aphids,Stem Borer
22.42,92.47,0.92,23.18,Summer,Low,,Healthy
30.66,48.35,269.86,16.34,Summer,Low,,Stem Borer
31.96,40.98,136.63,18.15,Winter,Medium,Armyworm,Stem Borer
29.57,82.95,133.57,1.46,Winter,Medium,Aphids,Powdery Mildew
32.93,77.83,234.72,9.67,Winter,High,Blight,Stem Borer
22.62,64.23,89.45,4.33,Summer,Medium,Armyworm,Stem Borer
21.22,53.7,75.42,0.92,Winter,Low,,Healthy
36.1,92.82,146.31,7.69,Summer,High,Blight,Powdery Mildew
29.15,69.21,207.71,13.72,Summer,Medium,Aphids,Stem Borer
21.4,43.22,219.89,19.27,Summer,Low,,Stem Borer
28.53,93.54,191.0,3.88,Summer,High,Leaf Spot,Powdery Mildew
29.31,57.8,178.61,4.82,Summer,Low,,Stem Borer
30.08,87.83,289.9,21.22,Monsoon,High,Blight,Powdery Mildew
37.41,79.49,266.43,2.36,Summer,High,Blight,Stem Borer
31.63,83.92,261.47,5.92,Winter,High,Leaf Spot,Powdery Mildew
37.18,63.1,178.53,23.6,Winter,Medium,Armyworm,Stem Borer
37.24,42.29,188.17,12.5,Monsoon,Low,,Stem Borer
29.23,41.79,206.71,10.16,Monsoon,Low,,Stem Borer
30.7,58.96,25.08,4.11,Monsoon,Low,,Healthy
30.54,86.93,193.11,12.52,Monsoon,High,Leaf Spot,Powdery Mildew
25.79,48.95,248.38,17.26,Winter,Low,,Stem Borer
23.26,51.54,237.64,10.38,Winter,Low,,Stem Borer
38.65,42.77,61.28,19.52,Monsoon,Low,,Healthy
36.79,60.87,243.24,20.08,Monsoon,Medium,Aphids,Stem Borer
38.31,49.81,227.72,0.21,Monsoon,Low,,Stem Borer
38.78,66.95,31.56,10.01,Winter,Medium,Aphids,Aphids
35.68,84.72,277.17,2.01,Winter,High,Blight,Powdery Mildew
21.31,92.13,128.06,20.89,Summer,Medium,Armyworm,Powdery Mildew
34.33,78.54,85.63,15.01,Monsoon,Medium,Aphids,Stem Borer
36.9,66.8,275.27,7.2,Summer,Medium,Aphids,Stem Borer
37.51,93.67,194.18,13.9,Winter,High,Blight,Powdery Mildew
29.34,54.66,211.01,2.78,Summer,Low,,Stem Borer
30.98,74.08,31.48,13.08,Monsoon,Medium,Aphids,Whitefly
21.48,52.52,98.93,17.99,Summer,Medium,Aphids,Stem Borer
36.92,80.31,91.66,17.64,Summer,Medium,Armyworm,Powdery Mildew
26.17,47.48,216.3,13.83,Monsoon,Low,,Stem Borer
31.06,87.91,87.17,0.38,Summer,Medium,Aphids,Stem Borer
31.75,57.98,237.24,21.43,Monsoon,Low,,Stem Borer
33.55,91.52,152.75,18.01,Winter,High,Blight,Powdery Mildew
24.99,50.26,64.98,20.28,Monsoon,Low,,Healthy
21.21,78.54,121.97,8.69,Winter,Medium,Armyworm,Stem Borer
28.78,84.3,158.31,12.66,Summer,High,Blight,Powdery Mildew
39.39,82.22,269.27,12.25,Summer,High,Leaf Spot,Powdery Mildew
36.45,91.18,122.67,14.07,Winter,Medium,Armyworm,Powdery Mildew
24.75,85.37,275.53,12.94,Winter,High,Leaf Spot,Powdery Mildew
28.69,45.07,273.51,18.97,Monsoon,Low,,Stem Borer
35.93,54.51,39.51,22.07,Summer,Low,,Aphids
33.94,55.06,290.38,10.73,Summer,Low,,Stem Borer
34.08,69.11,29.71,6.41,Summer,Medium,Armyworm,Aphids
38.99,76.3,136.14,1.49,Monsoon,Medium,Armyworm,Stem Borer
39.34,88.8,7.36,14.94,Summer,Low,,Aphids
35.67,73.95,58.59,6.68,Winter,Medium,Armyworm,Whitefly
28.47,59.33,260.36,14.55,Summer,Low,,Stem Borer
34.47,83.7,6.8,7.89,Winter,Low,,Aphids
23.73,78.62,299.5,0.19,Summer,High,Leaf Spot,Stem Borer
24.51,77.53,239.14,20.64,Monsoon,High,Leaf Spot,Stem Borer
28.6,78.73,289.79,20.45,Summer,High,Blight,Stem Borer
34.48,54.76,232.71,9.0,Winter,Low,,Stem Borer
24.38,57.26,87.38,21.34,Winter,Medium,Armyworm,Stem Borer
39.49,41.2,37.33,9.64,Winter,Low,,Aphids
37.78,67.24,106.08,16.47,Summer,Medium,Aphids,Stem Borer
23.87,55.46,74.84,17.21,Monsoon,Low,,Healthy
36.39,63.01,101.72,1.79,Summer,Medium,Armyworm,Stem Borer
22.26,93.93,298.04,24.3,Monsoon,High,Blight,Powdery Mildew
26.79,92.98,238.45,2.28,Summer,High,Blight,Powdery Mildew
30.98,90.78,135.08,8.27,Summer,Medium,Armyworm,Powdery Mildew
28.63,83.77,232.13,6.51,Winter,High,Leaf Spot,Powdery Mildew
32.45,84.35,171.4,17.36,Winter,High,Leaf Spot,Powdery Mildew
36.89,63.51,152.29,18.92,Summer,Medium,Aphids,Stem Borer
29.2,94.46,167.92,11.18,Summer,High,Blight,Powdery Mildew
24.95,58.03,183.57,14.71,Monsoon,Low,,Stem Borer
26.27,78.64,219.7,10.38,Winter,High,Blight,Stem Borer
